date_found,last_seen,id,reg_id,published,name,org,price,deadline,status,cpvs,label,attachment_count,pdf_count,excel_count,image_count,link
"2026-05-27","2026-08-15 17:24","688304","NAT260011016","27.05.2026","45100000-Site preparation work","Ozurgeti Municipality","213`657.00 GEL","08.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688304"
"2026-05-28","2026-08-15 17:24","688665","NAT260011046","28.05.2026","45100000-Site preparation work","Tbilisi Saburtalo District Gamgeoba","600`001.00 GEL","19.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688665"
"2026-05-28","2026-08-15 17:24","688651","NAT260011081","28.05.2026","45100000-Site preparation work","Tbilisi Nadzaledevi District Gamgeoba","898`127.00 GEL","18.06.2026","Finalization of contract","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688651"
"2026-05-28","2026-08-15 17:24","684292","NAT260011149","28.05.2026","45100000-Site preparation work","Kvareli Municipality","119`223.00 GEL","08.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=684292"
"2026-05-29","2026-08-15 17:24","688799","NAT260011191","29.05.2026","45100000-Site preparation work","Kvareli Municipality","48`211.00 GEL","09.06.2026","Contract not awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688799"
"2026-05-29","2026-08-15 17:24","688436","NAT260011248","29.05.2026","45100000-Site preparation work","Gardabani Municipality","64`923.00 GEL","09.06.2026","No bids received","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688436"
"2026-05-29","2026-08-15 17:24","684249","NAT260011255","29.05.2026","45100000-Site preparation work","Kvareli Municipality","92`085.00 GEL","09.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=684249"
"2026-05-29","2026-08-15 17:24","688797","NAT260011256","29.05.2026","45100000-Site preparation work","zugdidi municipality city hall","473`690.00 GEL","09.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688797"
"2026-05-29","2026-08-15 17:24","688523","NAT260011270","29.05.2026","45100000-Site preparation work","BATUMI MUNICIPAL INSPECTION","53`500.00 GEL","09.06.2026","Contract not awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688523"
"2026-05-29","2026-08-15 17:24","686275","NAT260011278","29.05.2026","45100000-Site preparation work","Self-city Kutaisi City Hall","2`896`416.00 GEL","19.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686275"
"2026-05-29","2026-08-15 17:24","687551","NAT260011289","29.05.2026","45100000-Site preparation work","Tbilisi Saburtalo District Gamgeoba","3`208`360.00 GEL","19.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=687551"
"2026-05-29","2026-08-15 17:24","688968","NAT260011312","29.05.2026","45100000-Site preparation work","Tbilisi Krtsanisi District Gamgeoba","485`321.00 GEL","22.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688968"
"2026-06-01","2026-08-15 17:24","689224","NAT260011391","01.06.2026","45100000-Site preparation work","Tbilisi Chugureti District Gamgeoba","250`000.00 GEL","12.06.2026","Cancelled","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689224"
"2026-06-02","2026-08-15 17:24","686545","NAT260011430","02.06.2026","45100000-Site preparation work","Self-governing Entity Zestafoni Municipality","3`008`146.00 GEL","23.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686545"
"2026-06-02","2026-08-15 17:24","688976","NAT260011437","02.06.2026","45100000-Site preparation work","Kvareli Municipality","148`633.00 GEL","15.06.2026","No bids received","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=688976"
"2026-06-02","2026-08-15 17:24","689016","NAT260011441","02.06.2026","45100000-Site preparation work","Kvareli Municipality","96`422.00 GEL","15.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=689016"
